"AcceptedSymbol","AcceptedSpecies","SynonymSymbol","Symbol","ScientificName","USDA_CName","Family","FamilyCommonName","GrowthHabit","Duration","Guild","Guild_PCLTEM","Origin"
"CAAM2","Callicarpa americana","NA","CAAM2","Callicarpa americana","American beautyberry","Verbenaceae","Verbena family","Shrub","Perennial","forb","NA","N"
"CAAM8","Carex amphibola","NA","CAAM8","Carex amphibola","eastern narrowleaf sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CABL","Carex blanda","NA","CABL","Carex blanda","eastern woodland sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CABR10","Carex brevior","NA","CABR10","Carex brevior","shortbeak sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CABU2","Capsella bursa-pastoris","NA","CABU2","Capsella bursa-pastoris","shepherd's purse","Brassicaceae","Mustard family","Forb/herb","Annual","forb","annual-biennial","I"
"CABU5","Carex bushii","NA","CABU5","Carex bushii","Bush's sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CACA18","Carpinus caroliniana","NA","CACA18","Carpinus caroliniana","American hornbeam","Betulaceae","Birch family","Tree","Perennial","woody","NA","N"
"CACA4","Calamagrostis canadensis","NA","CACA4","Calamagrostis canadensis","bluejoint","Poaceae","Grass family","Graminoid","Perennial","forb","NA","N"
"CACO15","Carya cordiformis","NA","CACO15","Carya cordiformis","bitternut hickory","Juglandaceae","Walnut family","Tree","Perennial","woody","woody","N"
"CACO26","Cardamine concatenata","NA","CACO26","Cardamine concatenata","cutleaf toothwort","Brassicaceae","Mustard family","Forb/herb","Perennial","forb","ephemeral","N"
"CADU6","Carex duriuscula","NA","CADU6","Carex duriuscula","needleleaf sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CAFI","Carex filifolia","NA","CAFI","Carex filifolia","threadleaf sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CAGL8","Carya glabra","NA","CAGL8","Carya glabra","pignut hickory","Juglandaceae","Walnut family","Tree","Perennial","woody","NA","N"
"CAIN2","Callirhoe involucrata","NA","CAIN2","Callirhoe involucrata","purple poppymallow","Malvaceae","Mallow family","Forb/herb","Perennial","forb","spring","N"
"CALO","Calamovilfa longifolia","NA","CALO","Calamovilfa longifolia","prairie sandreed","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"CAME2","Carex meadii","NA","CAME2","Carex meadii","Mead's sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CAMI2","Camelina microcarpa","NA","CAMI2","Camelina microcarpa","littlepod false flax","Brassicaceae","Mustard family","Forb/herb","Annual, Biennial","forb","annual-biennial","I"
"CAMO11","Carex molesta","NA","CAMO11","Carex molesta","troublesome sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CANU4","Carduus nutans","NA","CANU4","Carduus nutans","nodding plumeless thistle","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","annual-biennial","I"
"CAOV2","Carya ovata","NA","CAOV2","Carya ovata","shagbark hickory","Juglandaceae","Walnut family","Tree","Perennial","woody","woody","N"
"CAPA12","Cardamine parviflora","NA","CAPA12","Cardamine parviflora","sand bittercress","Brassicaceae","Mustard family","Forb/herb","Annual","forb","NA","N"
"CAPE42","Carex pellita","CALA30","CALA30","Carex lanuginosa","Sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CAPE6","Carex pensylvanica","NA","CAPE6","Carex pensylvanica","Pennsylvania sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CAPL4","Carex plantaginea","NA","CAPL4","Carex plantaginea","plantainleaf sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CAPUO","Castanea pumila var. ozarkensis","NA","CAPUO","Castanea pumila var. ozarkensis","Ozark chinquapin","Fagaceae","Beech family","Tree","Perennial","woody","NA","N"
"CARA2","Campsis radicans","NA","CARA2","Campsis radicans","trumpet creeper","Bignoniaceae","Trumpet-creeper family","Vine","Perennial","Woody","Woody","N"
"CAREX","Carex","NA","CAREX","Carex","sedge","Cyperaceae","Sedge family","Graminoid","NA","grass-like","grass-like","N"
"CARO2","Campanula rotundifolia","NA","CARO2","Campanula rotundifolia","bluebell bellflower","Campanulaceae","Bellflower family","Forb/herb","Perennial","forb","summer","N"
"CARYA","Carya","NA","CARYA","Carya","hickory","Juglandaceae","Walnut family","Tree","Perennial","woody","woody","N"
"CASA3","Cannabis sativa","NA","CASA3","Cannabis sativa","marijuana","Cannabaceae","NA","Forb/herb","Annual","forb","NA","N"
"CASC5","Camassia scilloides","NA","CASC5","Camassia scilloides","Atlantic camas","Liliaceae","Lily family","Forb/herb","Perennial","forb","ephemeral","N"
"CASE12","Calylophus serrulatus","NA","CASE12","Calylophus serrulatus","yellow sundrops","Onagraceae","Evening Primrose family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"CASE13","Calystegia sepium","NA","CASE13","Calystegia sepium","hedge false bindweed","Convolvulaceae","Morning-glory family","Forb/herb, vine","Perennial","forb","summer","N"
"CASE5","Castilleja sessiliflora","NA","CASE5","Castilleja sessiliflora","downy paintedcup","Scrophulariaceae","Figwort family","Subshrub, Forb/herb","Perennial","forb","spring","N"
"CASH2","Carex shortiana","NA","CASH2","Carex shortiana","Short's sedge","Cyperaceae","Sedge family","Graminoid","Perennial","grass-like","grass-like","N"
"CASP14","Calystegia spithamaea","NA","CASP14","Calystegia spithamaea","low false bindweed","Convolvulaceae","Morning-glory family","Forb/herb, vine","Perennial","forb","summer","N"
"CAST36","Calamagrostis stricta","NA","CAST36","Calamagrostis stricta","slimstem reedgrass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"CATE9","Carya texana","NA","CAE9","Carya texana ","black hickory","Julglandaceae","Walnut family","Tree","Perennial","woody","NA","N"
"CATH2","Caulophyllum thalictroides","NA","CATH2","Caulophyllum thalictroides","blue cohosh","Berberidaceae","Barberry family","Forb/herb","Perennial","forb","summer","N"
"CATO6","Carya tomentosa","NA","CATO6","Carya tomentosa","mockernut hickory","Juglandaceae","Walnut family","Tree","Perennial","woody","woody","N"
"CEAM","Ceanothus americanus","NA","CEAM","Ceanothus americanus","New Jersey tea","Rhamnaceae","Buckthorn family","Shrub, Subshrub","Perennial","woody","woody","N"
"CEANO","Ceanothus","NA","CEANO","Ceanothus","ceanothus","Rhamnaceae","Buckthorn family","Shrub","	Perennial","woody","woody","N"
"CEAR4","Cerastium arvense","NA","CEAR4","Cerastium arvense","field chickweed","Caryophyllaceae","Pink family","Forb/herb","Perennial","forb","spring","N"
"CEBR3","Cerastium brachypodum","NA","CEBR3","Cerastium brachypodum","shortstalk chickweed","Caryophyllaceae","Pink family","Forb/herb","Perennial","forb","annual-biennial","N"
"CECA4","Cercis canadensis","NA","CECA4","Cercis canadensis","estern redbud","Fabaceae","Pea family","Tree","Perennial","woody","NA","N"
"CEGL2","Cerastium glomeratum","NA","CEGL2","Cerastium glomeratum","sticky chickweed","Caryophyllaceae","Pink family","Forb/herb","Annual","forb","annual-biennial","I"
"CEHE","Ceanothus herbaceus","NA","CEHE","Ceanothus herbaceus","Jersey tea","Rhamnaceae","Buckthorn family","Shrub","Perennial","woody","woody","N"
"CELA","Celtis laevigata","NA","CELA","Celtis laevigata","sugarberry","Ulmaceae","Elm family","Tree","Perennial","woody","NA","N"
"CELAS","Celastrus","NA","CELAS","Celastrus","bittersweet","Celastraceae","Bittersweet family","Vine","Perennial","woody","NA","N"
"CELTI","Celtis","NA","CELTI","Celtis","hackberry","Ulmaceae","Elm family","Tree","Perennial","woody","NA","N"
"CEMO2","Cercocarpus montanus","NA","CEMO2","Cercocarpus montanus","alderleaf mountain mahogany","Rosaceae","Rose family","Tree, Shrub","Perennial","woody","woody","N"
"CENU2","Cerastium nutans","NA","CENU2","Cerastium nutans","nodding chickweed","Caryophyllaceae","Pink family","Forb/herb","Annual, Perennial","forb","spring","N"
"CEOC","Celtis occidentalis","NA","CEOC","Celtis occidentalis","common hackberry","Ulmaceae","Elm family","Tree","Perennial","woody","woody","N"
"CEOR7","Celastrus orbiculatus","NA","CEOR7","Celastrus orbiculatus","Oriental bittersweet","Celastraceae","Bittersweet family","Vine","Perennial","woody","woody","I"
"CEPU4","Cerastium pumilum","NA","CEPU4","Cerastium pumilum","European chickweed","Caryophyllaceae","Pink family","Forb/herb","Annual","forb","annual-biennial","I"
"CESC","Celastrus scandens","NA","CESC","Celastrus scandens","American bittersweet","Celastraceae","Bittersweet family","Vine","Perennial","woody","woody","N"
"CETE","Celtis tenuifolia","NA","CETE","Celtis tenuifolia","dwarf hackberry","Ulmaceae","Elm family","Tree","Perennial","woody","NA","N"
"CHAL7","Chenopodium album","NA","CHAL7","Chenopodium album","lambsquarters","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHAMA15","Chamaesyce","NA","CHAMA15","Chamaesyce","sandmat","Euphorbiaceae","Spurge family","Forb/herb","NA","forb","NA","N"
"CHBE4","Chenopodium berlandieri","NA","CHBE4","Chenopodium berlandieri","pitseed goosefoot","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHENO","Chenopodium","NA","CHENO","Chenopodium","goosefoot","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHFA2","Chamaecrista fasciculata","NA","CHFA2","Chamaecrista fasciculata","partridge pea","Fabaceae","Pea family","Forb/herb","Annual","forb","legume","N"
"CHGL13","Chamaesyce glyptosperma","NA","CHGL13","Chamaesyce glyptosperma","ribseed sandmat","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"CHLA5","Chasmanthium latifolium","NA","CHLA5","Chasmanthium latifolium","Indian woodoats","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"CHMA15","Chamaesyce maculata","NA","CHMA15","Chamaesyce maculata","spotted sandmat","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"CHMI8","Chamaesyce missurica","EUMI5","EUMI5","Euphorbia missurica","Prairie spurge","Euphorbiaceae","Spurge family","Forb/herb","Annual","forb","annual-biennial","N"
"CHNI2","Chamaecrista nictitans","NA","CHNI2","Chamaecrista nictitans","sensitive partridge pea","Fabaceae","Pea family","Subshrub, Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"CHNU9","Chamaesyce nutans","CHMA11","CHMA11","Chamaesyce maculata","Spotted sandmat","Euphorbiaceae","Spurge family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"CHPI8","Chrysopsis pilosa","NA","CHPI8","Chrysopsis pilosa","soft goldenaster","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"CHPR","Chaerophyllum procumbens","NA","CHPR","Chaerophyllum procumbens","spreading chervil","Apiaceae","Carrot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHPR5","Chenopodium pratericola","NA","CHPR5","Chenopodium pratericola","desert goosefoot","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHPR6","Chamaesyce prostrata","NA","CHPR6","Chamaesyce prostrata","prostrate sandmat","Euphorbiaceae","Spurge family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"CHSE2","Chasmanthium sessiliflorum","NA","CHSE2","Chasmanthium sessiliflorum","longleaf woodoats","Poaceae","Grass family","Graminoid","	Perennial","grass","NA","N"
"CHSE4","Chamaesyce serpens","NA","CHSE4","Chamaesyce serpens","matted sandmat","Euphorbiaceae","Spurge family","Forb/herb","Annual, Perennial","forb","annual-biennial","N"
"CHSI2","Chenopodium simplex","NA","CHSI2","Chenopodium simplex","mapleleaf goosefoot","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHTA","Chaerophyllum tainturieri","NA","CHTA","Chaerophyllum tainturieri","hairyfruit chervil","Apiaceae","Carrot family","Forb/herb","Annual","forb","annual-biennial","N"
"CHVE2","Chloris verticillata","NA","CHVE2","Chloris verticillata","tumble windmill grass","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"CIAL2","Cirsium altissimum","NA","CIAL2","Cirsium altissimum","tall thistle","Asteraceae","Aster family","Forb/herb","Biennial","forb","annual-biennial","N"
"CIAR2","Cinna arundinacea","NA","CIAR2","Cinna arundinacea","sweet woodreed","Poaceae","Grass family","Graminoid","Perennial","grass","summer","N"
"CIAR4","Cirsium arvense","NA","CIAR4","Cirsium arvense","Canada thistle","Asteraceae","Aster family","Forb/herb","Perennial","forb","NA","I"
"CICA11","Cirsium canescens","NA","CICA11","Cirsium canescens","prairie thistle","Asteraceae","Aster family","Forb/herb","Biennial","forb","spring","N"
"CIDI","Cirsium discolor","NA","CIDI","Cirsium discolor","field thistle","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","summer","N"
"CIFL","Cirsium flodmanii","NA","CIFL","Cirsium flodmanii","Flodman's thistle","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"CILUC","Circaea lutetiana ssp. canadensis","NA","CILUC","Circaea lutetiana ssp. canadensis","broadleaf enchanter's nightshade","Onagraceae","Evening Primrose family","Forb/herb","Perennial","forb","summer","N"
"CIMA2","Cicuta maculata","NA","CIMA2","Cicuta maculata","spotted water hemlock","Apiaceae","Carrot family","Forb/herb","Biennial, Perennial","forb","summer","N"
"CIRSI","Cirsium","NA","CIRSI","Cirsium","thistle","Asteraceae","Aster family","NA","NA","forb","summer","I"
"CIUN","Cirsium undulatum","NA","CIUN","Cirsium undulatum","wavyleaf thistle","Asteraceae","Aster family","Forb/herb","Biennial, Perennial","forb","summer","N"
"CIVU","Cirsium vulgare","NA","CIVU","Cirsium vulgare","bull thistle","Asteraceae","Aster family","Forb/herb","Biennial","forb","annual-biennial","I"
"CLAR5","Clinopodium arkansanum","CAAR33","CAAR33","Calamintha arkansana","Mint","Lamiaceae","Mint family","Forb/herb","Perennial","forb","spring","N"
"CLMA4","Clitoria mariana","NA","CLMA4","Clitoria mariana","Atlantic pigeonwings","Fabaceae","Pea family","Forb/herb, vine","	Perennial","forb","NA","N"
"CLSE","Cleome serrulata","NA","CLSE","Cleome serrulata","Rocky Mountain beeplant","Capparaceae","Caper family","Forb/herb","Annual","forb","annual-biennial","N"
"CLTE4","Clematis terniflora","NA","CLTE4","Clematis terniflora","sweet autumn virginsbower","Ranunculaceae","Buttercup family","Vine","Perennial","woody","woody","I"
"CLVI3","Claytonia virginica","NA","CLVI3","Claytonia virginica","Virginia springbeauty","Portulacaceae","Purslane family","Forb/herb","Perennial","forb","ephemeral","N"
"CLVI5","Clematis virginiana","NA","CLVI5","Clematis virginiana","devil's darning needles","Ranunculaceae","Buttercup family","Vine","Perennial","woody","NA","N"
"COAL2","Cornus alternifolia","NA","COAL2","Cornus alternifolia","alternateleaf dogwood","Cornaceae","Dogwood family","Tree","Perennial","woody","NA","N"
"COAM3","Corylus americana","NA","COAM3","Corylus americana","American hazelnut","Betulaceae","Birch family","Shrub","Perennial","woody","woody","N"
"COAMR","Corispermum americanum var. rydbergii","COHY","COHY","Corispermum hyssopifolium","Bugseed","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","I"
"COAR4","Convolvulus arvensis","NA","COAR4","Convolvulus arvensis","field bindweed","Convolvulaceae","Morning-glory family","Forb/herb, vine","Perennial","forb","summer","I"
"COCA","Cocculus carolinus","NA","COCA","Cocculus carolinus","Carolina coralbead","Menispermaceae","Moonseed family","Vine","Perennial","woody","woody","N"
"COCA5","Conyza canadensis","NA","COCA5","Conyza canadensis","Canadian horseweed","Asteraceae","Aster family","Forb/herb","Annual, Biennial","forb","annual-biennial","N"
"COCO13","Conoclinium coelestinum","NA","COCO13","Conoclinium coelestinum","blue mistflower","Asteraceae","Aster family","Forb/herb","Perennial","forb","summer","N"
"CODR","Cornus drummondii","NA","CODR","Cornus drummondii","roughleaf dogwood","Cornaceae","Dogwood family","Shrub","Perennial","woody","woody","N"
"COER","Commelina erecta","NA","COER","Commelina erecta","whitemouth dayflower","Commelinaceae","Spiderwort family","Forb/herb","Perennial","forb","spring","N"
"COFL2","Cornus florida","NA","COFL2","Cornus florida","flowering dogwood","Cornaceae","Dogwood family","Tree","Perennial","woody","NA","N"
"COGR5","Coreopsis grandiflora","NA","COGR5","Coreopsis grandiflora","largeflower tickseed","Asteraceae","Aster family","Forb/herb","	Perennial","forb","NA","N"
"COLI2","Collomia linearis","NA","COLI2","Collomia linearis","tiny trumpet","Polemoniaceae","Phlox family","Forb/herb","Annual","forb","annual-biennial","N"
"COMI2","Corydalis micrantha","NA","COMI2","Corydalis micrantha","smallflower fumewort","Fumariaceae","Fumitory family","Forb/herb","Annual","forb","annual-biennial","N"
"CONVO","Convolvulus","NA","CONVO","Convolvulus","bindweed","Convolvulaceae","Morning-glory family","Forb/herb, vine","NA","forb","NA","N"
"COPA10","Coreopsis palmata","NA","COPA10","Coreopsis palmata","stiff tickseed","Asteraceae","Aster family","Forb/herb","Perennial","forb","spring","N"
